TEXT,POS_GROUPED
’,PUNCT
atto,NOUN
sessuale,ADJ
»,PUNCT
ch,FUNC
’,PUNCT
a,PRON
dev,VERB
’,PUNCT
ëse,VERB
valuâ,VERB
«,PUNCT
tegnindo,VERB
conto,NOUN
da,FUNC
scituaçion,NOUN
e,FUNC
do,FUNC
contesto,NOUN
»,PUNCT
.,PUNCT
Pe-e,FUNC
oppoxiçioin,NOUN
o,PRON
l,PRON
’,PUNCT
é,VERB
un,PRON
«,PUNCT
passo,NOUN
inderê,ADV
graviscimo,ADJ
»,PUNCT
e,FUNC
«,PUNCT
a,PRON
rottua,NOUN
de,FUNC
un,PRON
patto,NOUN
politico,ADJ
»,PUNCT
.,PUNCT
«,PUNCT
Che,FUNC
a,PRON
Meloni,NOUN
a,PRON
no,FUNC
se,PRON
fasse,VERB
dâ,VERB
a,PRON
linia,NOUN
da-o,FUNC
patriarcato,NOUN
»,PUNCT
",",PUNCT
o,PRON
commento,NOUN
da,FUNC
Schlein,NOUN
.,PUNCT
Pe-o,FUNC
momento,NOUN
Fratelli,NOUN
d,FUNC
’,PUNCT
Italia,NOUN
a,PRON
no,FUNC
l,PRON
’,PUNCT
à,VERB
piggiou,VERB
unna,PRON
poxiçion,NOUN
definitiva,ADJ
.,PUNCT
L,PRON
’,PUNCT
é,VERB
mòrto,VERB
de,FUNC
93,ADJ
anni,NOUN
o,PRON
Valentino,NOUN
Garavani,NOUN
",",PUNCT
l,PRON
’,PUNCT
urtimo,ADJ
di,FUNC
gren,ADJ
protagonisti,NOUN
da,FUNC
mòdda,NOUN
in,FUNC
Italia,NOUN
.,PUNCT
O,PRON
l,PRON
’,PUNCT
aiva,VERB
fondou,VERB
o,PRON
marco,NOUN
co-o,FUNC
seu,ADJ
nomme,NOUN
",",PUNCT
do,FUNC
quæ,PRON
o,PRON
rosso,NOUN
e,FUNC
o,PRON
velluo,NOUN
ean,VERB
di,FUNC
scimboli,NOUN
.,PUNCT
A-o,PRON
manco,ADV
çinquemia,ADJ
persoñe,NOUN
gh,PRON
’,PUNCT
an,VERB
reiso,VERB
önô,NOUN
à,FUNC
Romma,NOUN
.,PUNCT
A-i,FUNC
23,ADJ
de,FUNC
zenâ,NOUN
o,PRON
morteuio,NOUN
inta,FUNC
gexa,NOUN
de,FUNC
Santa,ADJ
Maria,NOUN
di,FUNC
Angei,NOUN
con,FUNC
un,PRON
muggio,NOUN
de,FUNC
gente,NOUN
avvoxæ,ADJ
.,PUNCT
«,PUNCT
Un,PRON
òmmo,NOUN
ch,PRON
’,PUNCT
o,PRON
l,PRON
’,PUNCT
à,VERB
semenou,VERB
a,PRON
bellessa,NOUN
e,FUNC
o,PRON
n,FUNC
’,PUNCT
é,VERB
stæto,VERB
un,PRON
testimònio,NOUN
»,PUNCT
",",PUNCT
e,PRON
poule,NOUN
de,FUNC
præ,NOUN
Pietro,NOUN
Guerini,NOUN
.,PUNCT
O,PRON
seu,ADJ
compagno,NOUN
Vernon,NOUN
Bruce,NOUN
Hoeksema,NOOUN
:,PUNCT
«,PUNCT
No,FUNC
te,PRON
diggo,VERB
addio,NOUN
ma,FUNC
graçie,NOUN
»,PUNCT
.,PUNCT
«,PUNCT
O,PRON
regòrdo,NOUN
ciù,FUNC
bello,ADJ
quande,ADV
se,PRON
semmo,VERB
conosciui,VERB
»,PUNCT
",",PUNCT
o,PRON
l,PRON
’,PUNCT
à,VERB
dito,VERB
o,PRON
Giancarlo,NOUN
Giammetti,NOUN
",",PUNCT
passou,ADJ
compagno,NOUN
e,FUNC
sòçio,NOUN
de,FUNC
l,PRON
’,PUNCT
imprenditô,NOUN
da-o,FUNC
1960,ADJ
.,PUNCT
O,PRON
prescidente,NOUN
american,ADJ
Donald,NOUN
Trump,NOUN
o,PRON
l,PRON
’,PUNCT
à,VERB
primma,ADV
menassou,VERB
di,FUNC
neuvi,ADJ
daçi,NOUN
contra,ADV
i,FUNC
Paixi,NOUN
europëi,ADJ
che,PRON
mandan,VERB
de,FUNC
truppe,NOUN
in,FUNC
Groenlandia,NOUN
",",PUNCT
dapeu,ADV
a-o,FUNC
World,NOUN
Economic,ADJ
Forum,NOUN
de,FUNC
Davos,NOUN
",",PUNCT
in,FUNC
Svissera,NOUN
",",PUNCT
o,PRON
l,PRON
’,PUNCT
à,VERB
annonçiou,VERB
un,PRON
accòrdio,NOUN
à,FUNC
vegnî,VERB
co-a,FUNC
Nato,NOUN
:,PUNCT
«,PUNCT
Emmo,VERB
ottegnuo,VERB
tutto,NOUN
quello,PRON
che,PRON
voeivimo,VERB
",",PUNCT
l,PRON
’,PUNCT
inteisa,NOUN
a,FUNC
duià,VERB
pe,FUNC
delongo,ADV
»,PUNCT
",",PUNCT
o,PRON
l,PRON
’,PUNCT
à,VERB
dito,VERB
dòppo,ADV
un,PRON
incontro,NOUN
co-o,FUNC
segretäio,NOUN
generale,ADJ
Mark,NOUN
Rutte,NOUN
.,PUNCT
L,PRON
’,PUNCT
Union,NOUN
europea,ADJ
a,PRON
l,PRON
’,PUNCT
ea,VERB
za,ADV
apreuvo,ADV
à,FUNC
studiâ,VERB
unna,PRON
«,PUNCT
respòsta,NOUN
unitäia,ADJ
»,PUNCT
.,PUNCT
Sempre,ADV
à,FUNC
Davos,NOUN
l,PRON
’,PUNCT
é,VERB
stæto,VERB
presentou,VERB
o,PRON
Bord,OTHER
of,OTHER
peace,OTHER
pe,FUNC
Gazza,NOUN
con,FUNC
20,ADJ
Paixi,NOUN
.,PUNCT
Intanto,ADV
comensa,VERB
torna,ADV
e,PRON
trattative,NOUN
in,FUNC
sce,FUNC
l,PRON
’,PUNCT
Ucraina,NOUN
",",PUNCT
o,PRON
Zelensky,NOUN
o,PRON
l,PRON
’,PUNCT
à,VERB
attaccou,VERB
:,PUNCT
«,PUNCT
Euröpa,NOUN
spartia,ADJ
e,FUNC
persa,ADJ
davanti,ADV
a-o,FUNC
Trump,NOUN
»,PUNCT
.,PUNCT
A,PRON
Ruscia,NOUN
a,PRON
no,FUNC
ghe,PRON
mòlla,VERB
in,FUNC
sciô,FUNC
Donbass,NOUN
.,PUNCT
A-o,FUNC
manco,FUNC
43,ADJ
mòrti,NOUN
e,FUNC
ciù,ADV
de,FUNC
100,ADJ
ferii,NOUN
in,FUNC
Spagna,NOUN
pe,FUNC
un,PRON
açidente,NOUN
ferroviäio,ADJ
tra,FUNC
doî,ADJ
treni,NOUN
spedii,ADJ
in,FUNC
Andaluçia,NOUN
",",PUNCT
vexin,ADV
à,FUNC
Còrdova,NOUN
.,PUNCT
Trei,ADJ
vagoin,NOUN
scon,VERB
sciortii,VERB
feua,ADV
da-e,FUNC
colisse,NOUN
.,PUNCT
Dexeñe,NOUN
de,FUNC
persoñe,NOUN
no,FUNC
son,VERB
stæte,VERB
ancon,ADV
attrovæ,VERB
.,PUNCT
Inta,FUNC
mæxima,ADJ
træta,NOUN
gh,PRON
’,PUNCT
ea,VERB
za,ADV
stæto,VERB
eutto,ADJ
guasti,NOUN
inti,FUNC
anni,NOUN
passæ,ADJ
.,PUNCT
Da,FUNC
lì,ADV
à,FUNC
pöco,ADV
l,PRON
’,PUNCT
é,VERB
capitou,VERB
atri,ADJ
doî,ADJ
açidenti,NOUN
in,FUNC
sciâ,FUNC
ræ,NOUN
spagnòlla,ADJ
.,PUNCT
In,FUNC
Catalogna,NOUN
",",PUNCT
vexin,ADV
à,FUNC
Gelida,NOUN
",",PUNCT
un,PRON
miagion,NOUN
o,PRON
l,PRON
’,PUNCT
é,VERB
vegnuo,VERB
zu,ADV
tanto,ADV
che,PRON
passava,VERB
un,PRON
treno,NOUN
regionale,ADJ
",",PUNCT
fòscia,ADV
pe-o,FUNC
tempo,NOUN
grammo,ADJ
:,PUNCT
o,PRON
machinista,NOUN
o,PRON
l,PRON
’,PUNCT
é,VERB
mòrto,VERB
.,PUNCT
Inta,FUNC
mæxima,ADJ
region,NOUN
un,PRON
atro,ADJ
treno,NOUN
o,PRON
l,PRON
’,PUNCT
é,VERB
sciortio,VERB
pe,FUNC
di,FUNC
magheu,NOUN
cheiti,ADJ
in,FUNC
scê,FUNC
colisse,NOUN
.,PUNCT
A,PRON
Commiscion,NOUN
europea,ADJ
a,PRON
l,PRON
’,PUNCT
à,VERB
firmou,VERB
in,FUNC
Paraguay,NOUN
o,PRON
neuvo,ADJ
accòrdio,NOUN
co-o,FUNC
Mercosur,NOUN
.,PUNCT
«,PUNCT
Gh,PRON
’,PUNCT
é,VERB
chi,PRON
tia,VERB
sciù,ADV
de,FUNC
miage,NOUN
",",PUNCT
noiatri,PRON
femmo,VERB
di,FUNC
ponti,NOUON
.,PUNCT
St,ADJ
’,PUNCT
inteisa,NOUN
chì,ADV
a,PRON
l,PRON
’,PUNCT
é,VERB
un,PRON
segnâ,NOUN
pe-o,FUNC
mondo,NOUN
»,PUNCT
",",PUNCT
a,PRON
l,PRON
’,PUNCT
à,VERB
dito,VERB
a,PRON
prescidente,NOUN
Ursula,NOUN
von,OTHER
der,OTHER
Leyen,NOUN
.,PUNCT
Ma,FUNC
da,FUNC
lì,ADV
à,FUNC
no,FUNC
guæi,ADV
o,PRON
Parlamento,NOUN
o,PRON
l,PRON
’,PUNCT
à,VERB
bloccou,VERB
o,PRON
testo,NOUN
:,PUNCT
con,FUNC
334,ADJ
scì,OTHER
l,PRON
’,PUNCT
é,VERB
passou,VERB
a,PRON
domanda,NOUN
de,FUNC
un,PRON
gruppo,NOUN
de,FUNC
deputæ,NOUN
da,FUNC
Scinistra,NOUN
",",PUNCT
di,FUNC
Verdi,ADJ
e,FUNC
di,FUNC
Liberali,ADJ
de,FUNC
mandâlo,VERB
a-a,FUNC
Corte,NOUN
de,FUNC
giustiçia,NOUN
pe,FUNC
un,PRON
pai,NOUN
de,FUNC
lezze,NOUN
.,PUNCT
Oua,ADV
besorrià,VERB
aspëtâ,VERB
l,PRON
’,PUNCT
examme,NOUN
",",PUNCT
ch,PRON
’,PUNCT
o,PRON
porrieiva,VERB
duâ,VERB
pe,FUNC
di,FUNC
meixi,NOUN
.,PUNCT
A,PRON
Germania,NOUN
a,PRON
vorrieiva,VERB
applicâ,VERB
l,PRON
’,PUNCT
accòrdio,NOUN
de,FUNC
mainea,NOUN
provisöia,ADJ
.,PUNCT
Un,PRON
",",PUNCT
zoeno,NOUN
de,FUNC
19,ADJ
anni,NOUN
",",PUNCT
Youssef,NOUN
Abanoub,NOUN
",",PUNCT
originäio,ADJ
de,FUNC
l,PRON
’,PUNCT
Egitto,NOUN
o,PRON
l,PRON
’,PUNCT
é,VERB
stæto,VERB
ammassou,VERB
con,FUNC
unna,PRON
cotellâ,NOUN
da,FUNC
un,PRON
compagno,NOUN
de,FUNC
scheua,NOUN
inte,FUNC
un,PRON
instituto,NOUN
profescionale,ADJ
de,FUNC
Spezza,NOUN
.,PUNCT
O,PRON
l,PRON
’,PUNCT
é,VERB
avvegnuo,VERB
a-i,FUNC
16,ADJ
de,FUNC
zenâ,NOUN
pöco,ADJ
primma,ADV
de,FUNC
mezogiorno,NOUN
.,PUNCT
A,PRON
poliçia,NOUN
a,PRON
l,PRON
’,PUNCT
à,VERB
arrestou,VERB
un,PRON
studente,NOUN
de,FUNC
18,ADJ
anni,NOUN
de,FUNC
naçionalitæ,NOUN
marocchiña,ADJ
",",PUNCT
Zouhair,NOUN
Atif,NOUN
",",PUNCT
bloccou,ADJ
e,FUNC
desarmou,ADJ
da,FUNC
un,PRON
professô,NOUN
.,PUNCT
Segondo,FUNC
a,FUNC
reconstruçion,NOUN
",",PUNCT
i,PRON
doî,ADJ
aivan,VERB
comensou,VERB
a,FUNC
rattellâ,VERB
inti,FUNC
bagni,NOUN
",",PUNCT
se,PRON
pensa,VERB
pe,FUNC
unna,PRON
figgia,NOUN
",",PUNCT
dapeu,ADVMì
gh,PRON
’,PUNCT
é,VERB
stæto,VERB
l,PRON
’,PUNCT
aggrescion,NOUN
inte,FUNC
unna,PRON
classe,NOUN
.,PUNCT
A,PRON
lamma,NOUN
a,PRON
l,PRON
’,PUNCT
é,VERB
arrivâ,VERB
fin,ADV
a-o,FUNC
figæto,NOUN
e,FUNC
a-a,FUNC
minsa,NOUN
.,PUNCT
I,PRON
meghi,NOUN
de,FUNC
l,PRON
’,PUNCT
uspiâ,NOUN
Sant,ADJ
’,PUNCT
Andria,NOUN
an,VERB
fæto,VERB
tutto,NOUN
o,PRON
poscibile,ADJ
e,FUNC
l,PRON
’,PUNCT
an,VERB
sottopòsto,VERB
à,FUNC
unn,PRON
’,PUNCT
operaçion,NOUN
pe,FUNC
sarvâlo,VERB
",",PUNCT.
ma,FUNC
inta,FUNC
seiaña,NOUN
o,PRON
Youssef,NOUN
o,PRON
l,PRON
’,PUNCT
à,VERB
finio,VERB
de,FUNC
vive,VERB
.,PUNCT
Dòppo,ADV
trent,ADJ
’,PUNCT
anni,NOUN
gh,PRON
’,PUNCT
é,VERB
unna,PRON
sentensa,NOUN
de,FUNC
primmo,ADJ
graddo,NOUN
pe,FUNC
l,PRON
’,PUNCT
assascinio,NOUN
da,FUNC
Nada,NOUN
Cella,NOUN
",",PUNCT
ammassâ,VERB
de,FUNC
24,ADJ
anni,NOUN
into,FUNC
scagno,NOUN
do,FUNC
commerçialista,NOUN
Marco,NOUN
Soracco,NOUN
de,FUNC
Ciavai,NOUN
.,PUNCT
A,PRON
Corte,NOUN
d,FUNC
’,PUNCT
assise,NOUN
de,FUNC
Zena,NOUN
a,PRON
l,PRON
’,PUNCT
à,VERB
deciarou,VERB
corpeive,NOUN.
a,PRON
Annalucia,NOUN
Cecere,NOUN
e,FUNC
a,PRON
l,PRON
’,PUNCT
à,VERB
condannâ,VERB
à,FUNC
24,ADJ
anni,NOUN
de,FUNC
prexon,NOUN
.,PUNCT
A,PRON
Procua,NOUN
a,PRON
l,PRON
’,PUNCT
aiva,VERB
domandou,VERB
a,PRON
prexon,NOUN
à,FUNC
vitta,NOUN
.,PUNCT
O,PRON
Soracco,NOUN
o,PRON
l,PRON
’,PUNCT
é,VERB
stæto,VERB
condannou,VERB
à,FUNC
doî,ADJ
anni,NOUN
pe,FUNC
façilitaçion,NOUN
.,PUNCT
«,PUNCT
Pensava,VERB
che,PRON
l,PRON
’,PUNCT
avessan,VERB
ascordâ,VERB
",",PUNCT
oua,ADV
s,PRON
’,PUNCT
é,VERB
fæto,VERB
giustiçia,NOUN
»,PUNCT
",",PUNCT
o,PRON
commento,NOUN
da,FUNC
coxiña,NOUN
Silvia,NOUN
Cella,NOUN
.,PUNCT
«,PUNCT
Son,VERB
contenta,ADJ
e,FUNC
commòssa,ADJ
",",PUNCT
a,PRON
sentensa,NOUN
d,FUNC
’,PUNCT
ancheu,ADV
a,PRON
l,PRON
’,PUNCT
é,VERB
tròppo,ADV
importante,ADJ
»,PUNCT
",",PUNCT
a,PRON
l,PRON
’,PUNCT
à,VERB
dito,VERB
a,PRON
Sabrina,NOUN
Franzone,NOUN
",",PUNCT
l,PRON
’,PUNCT
avvocata,NOUN
da,FUNC
seu,NOUN
Daniela,NOUN
Cella,NOUN
.,PUNCT
E,PRON
motivaçion,NOUN
da,FUNC
sentensa,NOUN
saian,VERB
fæte,VERB
conosce,VERB
da,FUNC
cjì,ADV
à,FUNC
90,ADJ
giorni,NOUN
.,PUNCT
O,PRON
prescidente,NOUN
da,FUNC
Region,NOUN
Liguria,NOUN
Marco,NOUN
Bucci,NOUN
o,PRON
l,PRON
’,PUNCT
à,VERB
nominou,VERB
i,PRON
doî,ADJ
neuvi,ADJ
assessoî,NOUN
da,FUNC
seu,ADJ
zonta,NOUN
:,PUNCT
son,VERB
a,PRON
Claudia,NOUN
Morich,NOUN
",",PUNCT
pe,FUNC
chinz,ADJ
’,PUNCT
anni,NOUN
à,FUNC
cappo,NOUN
da,FUNC
direçion,NOUN
finançiäia,ADJ
",",PUNCT
e,FUNC
o,PRON
conseggê,NOUN
da,FUNC
Lega,NOUN
Alessio,NOUN
Piana,NOUN
.,PUNCT
I,PRON
componenti,NOUN
montan,VERB
coscì,ADV
à,FUNC
neuve,ADJ
graçie,ADV
a-a,FUNC
reforma,NOUN
do,FUNC
Statuto,NOUN
e,FUNC
a-a,FUNC
lezze,NOUN
naçionale,ADJ
.,PUNCT
A,PRON
Simona,NOUN
Ferro,NOUN
a,VERB
vëgne,VERB
viçeprescidente,NOUN
incangio,ADV
do,FUNC
Alessandro,NOUN
Piana,NOUN
.,PUNCT
O,PRON
Giacomo,NOUN
Giampedrone,NOUN
o,PRON
piggia,VERB
unna,PRON
neuva,ADJ
delega,NOUN
in,FUNC
sciâ,FUNC
diga,NOUN
do,FUNC
pòrto,NOUN
de,FUNC
Zena,NOUN
e,FUNC
quella,PRON
à,FUNC
l,FUNC
’,PUNCT
Ambiente,NOUN
a,PRON
va,VERB
a-o,FUNC
Paolo,NOUN
Ripamonti,NOUN
.,PUNCT
O,PRON
Angelo,NOUN
Vaccarezza,NOUN
o,PRON
l,PRON
’,PUNCT
avià,VERB
un,PRON
incarrego,NOUN
in,FUNC
scê,FUNC
relaçioin,NOUN
internaçionale,ADJ
e,FUNC
i,PRON
Enti,NOUN
locali,ADJ
.,PUNCT
«,PUNCT
A,PRON
maggioransa,NOUN
a,PRON
l,PRON
’,PUNCT
é,VERB
