SENTENCE,TEXT,POS_GROUPED
"O Zouhaur Atif, o zoeno arrestou pe avei ammassou o Abanoud Youssef inte unna scheua à Spezza, o l’à ammisso d’aveilo fæto pe giöxia: «O no doveiva scangiâse quelle fotografie co-a mæ galante».",Abanoud,NOUN
"O Zouhaur Atif, o zoeno arrestou pe avei ammassou o Abanoud Youssef inte unna scheua à Spezza, o l’à ammisso d’aveilo fæto pe giöxia: «O no doveiva scangiâse quelle fotografie co-a mæ galante».",Youssef,NOUN
"O Zouhaur Atif, o zoeno arrestou pe avei ammassou o Abanoud Youssef inte unna scheua à Spezza, o l’à ammisso d’aveilo fæto pe giöxia: «O no doveiva scangiâse quelle fotografie co-a mæ galante».",inte,FUNC
"O Zouhaur Atif, o zoeno arrestou pe avei ammassou o Abanoud Youssef inte unna scheua à Spezza, o l’à ammisso d’aveilo fæto pe giöxia: «O no doveiva scangiâse quelle fotografie co-a mæ galante».",unna,PRON
"O Zouhaur Atif, o zoeno arrestou pe avei ammassou o Abanoud Youssef inte unna scheua à Spezza, o l’à ammisso d’aveilo fæto pe giöxia: «O no doveiva scangiâse quelle fotografie co-a mæ galante».",scheua,NOUN
"O Zouhaur Atif, o zoeno arrestou pe avei ammassou o Abanoud Youssef inte unna scheua à Spezza, o l’à ammisso d’aveilo fæto pe giöxia: «O no doveiva scangiâse quelle fotografie co-a mæ galante».",à,FUNC
"O Zouhaur Atif, o zoeno arrestou pe avei ammassou o Abanoud Youssef inte unna scheua à Spezza, o l’à ammisso d’aveilo fæto pe giöxia: «O no doveiva scangiâse quelle fotografie co-a mæ galante».",Spezza,NOUN
"O Zouhaur Atif, o zoeno arrestou pe avei ammassou o Abanoud Youssef inte unna scheua à Spezza, o l’à ammisso d’aveilo fæto pe giöxia: «O no doveiva scangiâse quelle fotografie co-a mæ galante».",",",PUNCT
"O Zouhaur Atif, o zoeno arrestou pe avei ammassou o Abanoud Youssef inte unna scheua à Spezza, o l’à ammisso d’aveilo fæto pe giöxia: «O no doveiva scangiâse quelle fotografie co-a mæ galante».",o,PRON
"O Zouhaur Atif, o zoeno arrestou pe avei ammassou o Abanoud Youssef inte unna scheua à Spezza, o l’à ammisso d’aveilo fæto pe giöxia: «O no doveiva scangiâse quelle fotografie co-a mæ galante».",l,PRON
"O Zouhaur Atif, o zoeno arrestou pe avei ammassou o Abanoud Youssef inte unna scheua à Spezza, o l’à ammisso d’aveilo fæto pe giöxia: «O no doveiva scangiâse quelle fotografie co-a mæ galante».",’,PUNCT
"O Zouhaur Atif, o zoeno arrestou pe avei ammassou o Abanoud Youssef inte unna scheua à Spezza, o l’à ammisso d’aveilo fæto pe giöxia: «O no doveiva scangiâse quelle fotografie co-a mæ galante».",à,VERB
"O Zouhaur Atif, o zoeno arrestou pe avei ammassou o Abanoud Youssef inte unna scheua à Spezza, o l’à ammisso d’aveilo fæto pe giöxia: «O no doveiva scangiâse quelle fotografie co-a mæ galante».",ammisso,VERB
"O Zouhaur Atif, o zoeno arrestou pe avei ammassou o Abanoud Youssef inte unna scheua à Spezza, o l’à ammisso d’aveilo fæto pe giöxia: «O no doveiva scangiâse quelle fotografie co-a mæ galante».",d,FUNC
"O Zouhaur Atif, o zoeno arrestou pe avei ammassou o Abanoud Youssef inte unna scheua à Spezza, o l’à ammisso d’aveilo fæto pe giöxia: «O no doveiva scangiâse quelle fotografie co-a mæ galante».",’,PUNCT
"O Zouhaur Atif, o zoeno arrestou pe avei ammassou o Abanoud Youssef inte unna scheua à Spezza, o l’à ammisso d’aveilo fæto pe giöxia: «O no doveiva scangiâse quelle fotografie co-a mæ galante».",aveilo,VERB
"O Zouhaur Atif, o zoeno arrestou pe avei ammassou o Abanoud Youssef inte unna scheua à Spezza, o l’à ammisso d’aveilo fæto pe giöxia: «O no doveiva scangiâse quelle fotografie co-a mæ galante».",fæto,VERB
"O Zouhaur Atif, o zoeno arrestou pe avei ammassou o Abanoud Youssef inte unna scheua à Spezza, o l’à ammisso d’aveilo fæto pe giöxia: «O no doveiva scangiâse quelle fotografie co-a mæ galante».",pe,FUNC
"O Zouhaur Atif, o zoeno arrestou pe avei ammassou o Abanoud Youssef inte unna scheua à Spezza, o l’à ammisso d’aveilo fæto pe giöxia: «O no doveiva scangiâse quelle fotografie co-a mæ galante».",giöxia,NOUN
"O Zouhaur Atif, o zoeno arrestou pe avei ammassou o Abanoud Youssef inte unna scheua à Spezza, o l’à ammisso d’aveilo fæto pe giöxia: «O no doveiva scangiâse quelle fotografie co-a mæ galante».",:,PUNCT
"O Zouhaur Atif, o zoeno arrestou pe avei ammassou o Abanoud Youssef inte unna scheua à Spezza, o l’à ammisso d’aveilo fæto pe giöxia: «O no doveiva scangiâse quelle fotografie co-a mæ galante».",«,PUNCT
"O Zouhaur Atif, o zoeno arrestou pe avei ammassou o Abanoud Youssef inte unna scheua à Spezza, o l’à ammisso d’aveilo fæto pe giöxia: «O no doveiva scangiâse quelle fotografie co-a mæ galante».",O,PRON
"O Zouhaur Atif, o zoeno arrestou pe avei ammassou o Abanoud Youssef inte unna scheua à Spezza, o l’à ammisso d’aveilo fæto pe giöxia: «O no doveiva scangiâse quelle fotografie co-a mæ galante».",no,FUNC
"O Zouhaur Atif, o zoeno arrestou pe avei ammassou o Abanoud Youssef inte unna scheua à Spezza, o l’à ammisso d’aveilo fæto pe giöxia: «O no doveiva scangiâse quelle fotografie co-a mæ galante».",doveiva,VERB
"O Zouhaur Atif, o zoeno arrestou pe avei ammassou o Abanoud Youssef inte unna scheua à Spezza, o l’à ammisso d’aveilo fæto pe giöxia: «O no doveiva scangiâse quelle fotografie co-a mæ galante».",scangiâse,VERB
"O Zouhaur Atif, o zoeno arrestou pe avei ammassou o Abanoud Youssef inte unna scheua à Spezza, o l’à ammisso d’aveilo fæto pe giöxia: «O no doveiva scangiâse quelle fotografie co-a mæ galante».",quelle,ADJ
"O Zouhaur Atif, o zoeno arrestou pe avei ammassou o Abanoud Youssef inte unna scheua à Spezza, o l’à ammisso d’aveilo fæto pe giöxia: «O no doveiva scangiâse quelle fotografie co-a mæ galante».",fotografie,NOUN
"O Zouhaur Atif, o zoeno arrestou pe avei ammassou o Abanoud Youssef inte unna scheua à Spezza, o l’à ammisso d’aveilo fæto pe giöxia: «O no doveiva scangiâse quelle fotografie co-a mæ galante».",co-a,FUNC
"O Zouhaur Atif, o zoeno arrestou pe avei ammassou o Abanoud Youssef inte unna scheua à Spezza, o l’à ammisso d’aveilo fæto pe giöxia: «O no doveiva scangiâse quelle fotografie co-a mæ galante».",mæ,ADJ
"O Zouhaur Atif, o zoeno arrestou pe avei ammassou o Abanoud Youssef inte unna scheua à Spezza, o l’à ammisso d’aveilo fæto pe giöxia: «O no doveiva scangiâse quelle fotografie co-a mæ galante».",galante,NOUN
"O Zouhaur Atif, o zoeno arrestou pe avei ammassou o Abanoud Youssef inte unna scheua à Spezza, o l’à ammisso d’aveilo fæto pe giöxia: «O no doveiva scangiâse quelle fotografie co-a mæ galante».",»,PUNCT
"O Zouhaur Atif, o zoeno arrestou pe avei ammassou o Abanoud Youssef inte unna scheua à Spezza, o l’à ammisso d’aveilo fæto pe giöxia: «O no doveiva scangiâse quelle fotografie co-a mæ galante».",.,PUNCT
A figgia e a vittima se conosceivan da figgeu.,A,PRON
A figgia e a vittima se conosceivan da figgeu.,figgia,NOUN
A figgia e a vittima se conosceivan da figgeu.,e,FUNC
A figgia e a vittima se conosceivan da figgeu.,a,PRON
A figgia e a vittima se conosceivan da figgeu.,vittima,NOUN
A figgia e a vittima se conosceivan da figgeu.,se,FUNC
A figgia e a vittima se conosceivan da figgeu.,conosceivan,VERB
A figgia e a vittima se conosceivan da figgeu.,da,FUNC
A figgia e a vittima se conosceivan da figgeu.,figgeu,NOUN
A figgia e a vittima se conosceivan da figgeu.,.,PUNCT
"«Aiva fæto o poscibile perché no rattellessan», a l’à scrito lê in sce un social.",«,PUNCT
"«Aiva fæto o poscibile perché no rattellessan», a l’à scrito lê in sce un social.",Aiva,VERB
"«Aiva fæto o poscibile perché no rattellessan», a l’à scrito lê in sce un social.",fæto,VERB
"«Aiva fæto o poscibile perché no rattellessan», a l’à scrito lê in sce un social.",o,PRON
"«Aiva fæto o poscibile perché no rattellessan», a l’à scrito lê in sce un social.",poscibile,NOUN
"«Aiva fæto o poscibile perché no rattellessan», a l’à scrito lê in sce un social.",perché,FUNC
"«Aiva fæto o poscibile perché no rattellessan», a l’à scrito lê in sce un social.",no,FUNC
"«Aiva fæto o poscibile perché no rattellessan», a l’à scrito lê in sce un social.",rattellessan,VERB
"«Aiva fæto o poscibile perché no rattellessan», a l’à scrito lê in sce un social.",»,PUNCT
"«Aiva fæto o poscibile perché no rattellessan», a l’à scrito lê in sce un social.",",",PUNCT
"«Aiva fæto o poscibile perché no rattellessan», a l’à scrito lê in sce un social.",a,PRON
"«Aiva fæto o poscibile perché no rattellessan», a l’à scrito lê in sce un social.",l,PRON
"«Aiva fæto o poscibile perché no rattellessan», a l’à scrito lê in sce un social.",’,PUNCT
"«Aiva fæto o poscibile perché no rattellessan», a l’à scrito lê in sce un social.",à,VERB
"«Aiva fæto o poscibile perché no rattellessan», a l’à scrito lê in sce un social.",scrito,VERB
"«Aiva fæto o poscibile perché no rattellessan», a l’à scrito lê in sce un social.",lê,PRON
"«Aiva fæto o poscibile perché no rattellessan», a l’à scrito lê in sce un social.",in,FUNC
"«Aiva fæto o poscibile perché no rattellessan», a l’à scrito lê in sce un social.",sce,FUNC
"«Aiva fæto o poscibile perché no rattellessan», a l’à scrito lê in sce un social.",un,PRON
"«Aiva fæto o poscibile perché no rattellessan», a l’à scrito lê in sce un social.",social,NOUN
"«Aiva fæto o poscibile perché no rattellessan», a l’à scrito lê in sce un social.",.,PUNCT
O Atif o l’arresta in prexon e oua o reisega d’ëse accaxonou da premeditaçion.,O,PRON
O Atif o l’arresta in prexon e oua o reisega d’ëse accaxonou da premeditaçion.,Atif,NOUN
O Atif o l’arresta in prexon e oua o reisega d’ëse accaxonou da premeditaçion.,o,PRON
O Atif o l’arresta in prexon e oua o reisega d’ëse accaxonou da premeditaçion.,l,PRON
O Atif o l’arresta in prexon e oua o reisega d’ëse accaxonou da premeditaçion.,’,PUNCT
O Atif o l’arresta in prexon e oua o reisega d’ëse accaxonou da premeditaçion.,arresta,VERB
O Atif o l’arresta in prexon e oua o reisega d’ëse accaxonou da premeditaçion.,in,FUNC
O Atif o l’arresta in prexon e oua o reisega d’ëse accaxonou da premeditaçion.,prexon,NOUN
O Atif o l’arresta in prexon e oua o reisega d’ëse accaxonou da premeditaçion.,e,FUNC
O Atif o l’arresta in prexon e oua o reisega d’ëse accaxonou da premeditaçion.,oua,FUNC
O Atif o l’arresta in prexon e oua o reisega d’ëse accaxonou da premeditaçion.,o,PRON
O Atif o l’arresta in prexon e oua o reisega d’ëse accaxonou da premeditaçion.,reisega,VERB
O Atif o l’arresta in prexon e oua o reisega d’ëse accaxonou da premeditaçion.,d,FUNC
O Atif o l’arresta in prexon e oua o reisega d’ëse accaxonou da premeditaçion.,’,PUNCT
O Atif o l’arresta in prexon e oua o reisega d’ëse accaxonou da premeditaçion.,ëse,VERB
O Atif o l’arresta in prexon e oua o reisega d’ëse accaxonou da premeditaçion.,accaxonou,VERB
O Atif o l’arresta in prexon e oua o reisega d’ëse accaxonou da premeditaçion.,da,FUNC
O Atif o l’arresta in prexon e oua o reisega d’ëse accaxonou da premeditaçion.,premeditaçion,NOUN
O Atif o l’arresta in prexon e oua o reisega d’ëse accaxonou da premeditaçion.,.,PUNCT
"A-i 22 de zenâ, giornâ de desmuo da çittæ, çentanæa de persoñe an parteçipou a-o morteuio crestian into dòmmo.",A-i,FUNC
"A-i 22 de zenâ, giornâ de desmuo da çittæ, çentanæa de persoñe an parteçipou a-o morteuio crestian into dòmmo.",22,ADJ
"A-i 22 de zenâ, giornâ de desmuo da çittæ, çentanæa de persoñe an parteçipou a-o morteuio crestian into dòmmo.",de,FUNC
"A-i 22 de zenâ, giornâ de desmuo da çittæ, çentanæa de persoñe an parteçipou a-o morteuio crestian into dòmmo.",zenâ,NOUN
"A-i 22 de zenâ, giornâ de desmuo da çittæ, çentanæa de persoñe an parteçipou a-o morteuio crestian into dòmmo.",",",PUNCT
"A-i 22 de zenâ, giornâ de desmuo da çittæ, çentanæa de persoñe an parteçipou a-o morteuio crestian into dòmmo.",giornâ,NOUN
"A-i 22 de zenâ, giornâ de desmuo da çittæ, çentanæa de persoñe an parteçipou a-o morteuio crestian into dòmmo.",de,FUNC
"A-i 22 de zenâ, giornâ de desmuo da çittæ, çentanæa de persoñe an parteçipou a-o morteuio crestian into dòmmo.",desmuo,NOUN
"A-i 22 de zenâ, giornâ de desmuo da çittæ, çentanæa de persoñe an parteçipou a-o morteuio crestian into dòmmo.",da,FUNC
"A-i 22 de zenâ, giornâ de desmuo da çittæ, çentanæa de persoñe an parteçipou a-o morteuio crestian into dòmmo.",çittæ,NOUN
"A-i 22 de zenâ, giornâ de desmuo da çittæ, çentanæa de persoñe an parteçipou a-o morteuio crestian into dòmmo.",",",PUNCT
"A-i 22 de zenâ, giornâ de desmuo da çittæ, çentanæa de persoñe an parteçipou a-o morteuio crestian into dòmmo.",çentanæa,ADJ
"A-i 22 de zenâ, giornâ de desmuo da çittæ, çentanæa de persoñe an parteçipou a-o morteuio crestian into dòmmo.",de,FUNC
"A-i 22 de zenâ, giornâ de desmuo da çittæ, çentanæa de persoñe an parteçipou a-o morteuio crestian into dòmmo.",persoñe,NOUN
"A-i 22 de zenâ, giornâ de desmuo da çittæ, çentanæa de persoñe an parteçipou a-o morteuio crestian into dòmmo.",an,VERB
"A-i 22 de zenâ, giornâ de desmuo da çittæ, çentanæa de persoñe an parteçipou a-o morteuio crestian into dòmmo.",parteçipou,VERB
"A-i 22 de zenâ, giornâ de desmuo da çittæ, çentanæa de persoñe an parteçipou a-o morteuio crestian into dòmmo.",a-o,FUNC
"A-i 22 de zenâ, giornâ de desmuo da çittæ, çentanæa de persoñe an parteçipou a-o morteuio crestian into dòmmo.",morteuio,NOUN
"A-i 22 de zenâ, giornâ de desmuo da çittæ, çentanæa de persoñe an parteçipou a-o morteuio crestian into dòmmo.",crestian,ADJ
"A-i 22 de zenâ, giornâ de desmuo da çittæ, çentanæa de persoñe an parteçipou a-o morteuio crestian into dòmmo.",into,FUNC
"A-i 22 de zenâ, giornâ de desmuo da çittæ, çentanæa de persoñe an parteçipou a-o morteuio crestian into dòmmo.",dòmmo,NOUN
"A-i 22 de zenâ, giornâ de desmuo da çittæ, çentanæa de persoñe an parteçipou a-o morteuio crestian into dòmmo.",.,PUNCT
"Da l’autopscia l’é vegnuo feua che o Abanoud o l’é mòrto pe unna cotellâ sola ch’a gh’à dannezzou o figæto, a minsa e un pormon.",Da,FUNC
"Da l’autopscia l’é vegnuo feua che o Abanoud o l’é mòrto pe unna cotellâ sola ch’a gh’à dannezzou o figæto, a minsa e un pormon.",l,FUNC
"Da l’autopscia l’é vegnuo feua che o Abanoud o l’é mòrto pe unna cotellâ sola ch’a gh’à dannezzou o figæto, a minsa e un pormon.",’,PUNCT
"Da l’autopscia l’é vegnuo feua che o Abanoud o l’é mòrto pe unna cotellâ sola ch’a gh’à dannezzou o figæto, a minsa e un pormon.",autopscia,NOUN
"Da l’autopscia l’é vegnuo feua che o Abanoud o l’é mòrto pe unna cotellâ sola ch’a gh’à dannezzou o figæto, a minsa e un pormon.",l,PRON
"Da l’autopscia l’é vegnuo feua che o Abanoud o l’é mòrto pe unna cotellâ sola ch’a gh’à dannezzou o figæto, a minsa e un pormon.",’,PUNCT
"Da l’autopscia l’é vegnuo feua che o Abanoud o l’é mòrto pe unna cotellâ sola ch’a gh’à dannezzou o figæto, a minsa e un pormon.",é,VERB
"Da l’autopscia l’é vegnuo feua che o Abanoud o l’é mòrto pe unna cotellâ sola ch’a gh’à dannezzou o figæto, a minsa e un pormon.",vegnuo,VERB
"Da l’autopscia l’é vegnuo feua che o Abanoud o l’é mòrto pe unna cotellâ sola ch’a gh’à dannezzou o figæto, a minsa e un pormon.",feua,ADV
"Da l’autopscia l’é vegnuo feua che o Abanoud o l’é mòrto pe unna cotellâ sola ch’a gh’à dannezzou o figæto, a minsa e un pormon.",che,FUNC
"Da l’autopscia l’é vegnuo feua che o Abanoud o l’é mòrto pe unna cotellâ sola ch’a gh’à dannezzou o figæto, a minsa e un pormon.",o,PRON
"Da l’autopscia l’é vegnuo feua che o Abanoud o l’é mòrto pe unna cotellâ sola ch’a gh’à dannezzou o figæto, a minsa e un pormon.",Abanoud,NOUN
"Da l’autopscia l’é vegnuo feua che o Abanoud o l’é mòrto pe unna cotellâ sola ch’a gh’à dannezzou o figæto, a minsa e un pormon.",o,PRON
"Da l’autopscia l’é vegnuo feua che o Abanoud o l’é mòrto pe unna cotellâ sola ch’a gh’à dannezzou o figæto, a minsa e un pormon.",l,PRON
"Da l’autopscia l’é vegnuo feua che o Abanoud o l’é mòrto pe unna cotellâ sola ch’a gh’à dannezzou o figæto, a minsa e un pormon.",’,PUNCT
"Da l’autopscia l’é vegnuo feua che o Abanoud o l’é mòrto pe unna cotellâ sola ch’a gh’à dannezzou o figæto, a minsa e un pormon.",é,VERB
"Da l’autopscia l’é vegnuo feua che o Abanoud o l’é mòrto pe unna cotellâ sola ch’a gh’à dannezzou o figæto, a minsa e un pormon.",mòrto,VERB
"Da l’autopscia l’é vegnuo feua che o Abanoud o l’é mòrto pe unna cotellâ sola ch’a gh’à dannezzou o figæto, a minsa e un pormon.",pe,FUNC
"Da l’autopscia l’é vegnuo feua che o Abanoud o l’é mòrto pe unna cotellâ sola ch’a gh’à dannezzou o figæto, a minsa e un pormon.",unna,PRON
"Da l’autopscia l’é vegnuo feua che o Abanoud o l’é mòrto pe unna cotellâ sola ch’a gh’à dannezzou o figæto, a minsa e un pormon.",cotellâ,NOUN
"Da l’autopscia l’é vegnuo feua che o Abanoud o l’é mòrto pe unna cotellâ sola ch’a gh’à dannezzou o figæto, a minsa e un pormon.",sola,ADJ
"Da l’autopscia l’é vegnuo feua che o Abanoud o l’é mòrto pe unna cotellâ sola ch’a gh’à dannezzou o figæto, a minsa e un pormon.",ch,FUNC
"Da l’autopscia l’é vegnuo feua che o Abanoud o l’é mòrto pe unna cotellâ sola ch’a gh’à dannezzou o figæto, a minsa e un pormon.",’,PUNCT
"Da l’autopscia l’é vegnuo feua che o Abanoud o l’é mòrto pe unna cotellâ sola ch’a gh’à dannezzou o figæto, a minsa e un pormon.",a,VERB
"Da l’autopscia l’é vegnuo feua che o Abanoud o l’é mòrto pe unna cotellâ sola ch’a gh’à dannezzou o figæto, a minsa e un pormon.",gh,PRON
"Da l’autopscia l’é vegnuo feua che o Abanoud o l’é mòrto pe unna cotellâ sola ch’a gh’à dannezzou o figæto, a minsa e un pormon.",’,PUNCT
"Da l’autopscia l’é vegnuo feua che o Abanoud o l’é mòrto pe unna cotellâ sola ch’a gh’à dannezzou o figæto, a minsa e un pormon.",à,VERB
"Da l’autopscia l’é vegnuo feua che o Abanoud o l’é mòrto pe unna cotellâ sola ch’a gh’à dannezzou o figæto, a minsa e un pormon.",dannezzou,VERB
"Da l’autopscia l’é vegnuo feua che o Abanoud o l’é mòrto pe unna cotellâ sola ch’a gh’à dannezzou o figæto, a minsa e un pormon.",o,PRON
"Da l’autopscia l’é vegnuo feua che o Abanoud o l’é mòrto pe unna cotellâ sola ch’a gh’à dannezzou o figæto, a minsa e un pormon.",figæto,NOUN
"Da l’autopscia l’é vegnuo feua che o Abanoud o l’é mòrto pe unna cotellâ sola ch’a gh’à dannezzou o figæto, a minsa e un pormon.",",",PUNCT
"Da l’autopscia l’é vegnuo feua che o Abanoud o l’é mòrto pe unna cotellâ sola ch’a gh’à dannezzou o figæto, a minsa e un pormon.",a,PRON
"Da l’autopscia l’é vegnuo feua che o Abanoud o l’é mòrto pe unna cotellâ sola ch’a gh’à dannezzou o figæto, a minsa e un pormon.",minsa,NOUN
"Da l’autopscia l’é vegnuo feua che o Abanoud o l’é mòrto pe unna cotellâ sola ch’a gh’à dannezzou o figæto, a minsa e un pormon.",e,FUNC
"Da l’autopscia l’é vegnuo feua che o Abanoud o l’é mòrto pe unna cotellâ sola ch’a gh’à dannezzou o figæto, a minsa e un pormon.",un,PRON
"Da l’autopscia l’é vegnuo feua che o Abanoud o l’é mòrto pe unna cotellâ sola ch’a gh’à dannezzou o figæto, a minsa e un pormon.",pormon,NOUN
"Da l’autopscia l’é vegnuo feua che o Abanoud o l’é mòrto pe unna cotellâ sola ch’a gh’à dannezzou o figæto, a minsa e un pormon.",.,PUNCT
"A Procua de Zena a l’à ciammou o fallimento de l’Amt, l’açienda ch’a gestisce o traspòrto pubrico, trovandoghe 200 mioin e passa de debiti.",A,PRON
"A Procua de Zena a l’à ciammou o fallimento de l’Amt, l’açienda ch’a gestisce o traspòrto pubrico, trovandoghe 200 mioin e passa de debiti.",Procua,NOUN
"A Procua de Zena a l’à ciammou o fallimento de l’Amt, l’açienda ch’a gestisce o traspòrto pubrico, trovandoghe 200 mioin e passa de debiti.",de,FUNC
"A Procua de Zena a l’à ciammou o fallimento de l’Amt, l’açienda ch’a gestisce o traspòrto pubrico, trovandoghe 200 mioin e passa de debiti.",Zena,NOUN
"A Procua de Zena a l’à ciammou o fallimento de l’Amt, l’açienda ch’a gestisce o traspòrto pubrico, trovandoghe 200 mioin e passa de debiti.",a,PRON
"A Procua de Zena a l’à ciammou o fallimento de l’Amt, l’açienda ch’a gestisce o traspòrto pubrico, trovandoghe 200 mioin e passa de debiti.",l,PRON
"A Procua de Zena a l’à ciammou o fallimento de l’Amt, l’açienda ch’a gestisce o traspòrto pubrico, trovandoghe 200 mioin e passa de debiti.",’,PUNCT
"A Procua de Zena a l’à ciammou o fallimento de l’Amt, l’açienda ch’a gestisce o traspòrto pubrico, trovandoghe 200 mioin e passa de debiti.",à,VERB
"A Procua de Zena a l’à ciammou o fallimento de l’Amt, l’açienda ch’a gestisce o traspòrto pubrico, trovandoghe 200 mioin e passa de debiti.",ciammou,VERB
"A Procua de Zena a l’à ciammou o fallimento de l’Amt, l’açienda ch’a gestisce o traspòrto pubrico, trovandoghe 200 mioin e passa de debiti.",o,PRON
"A Procua de Zena a l’à ciammou o fallimento de l’Amt, l’açienda ch’a gestisce o traspòrto pubrico, trovandoghe 200 mioin e passa de debiti.",fallimento,NOUN
"A Procua de Zena a l’à ciammou o fallimento de l’Amt, l’açienda ch’a gestisce o traspòrto pubrico, trovandoghe 200 mioin e passa de debiti.",de,FUNC
"A Procua de Zena a l’à ciammou o fallimento de l’Amt, l’açienda ch’a gestisce o traspòrto pubrico, trovandoghe 200 mioin e passa de debiti.",l,PRON
"A Procua de Zena a l’à ciammou o fallimento de l’Amt, l’açienda ch’a gestisce o traspòrto pubrico, trovandoghe 200 mioin e passa de debiti.",’,PUNCT
"A Procua de Zena a l’à ciammou o fallimento de l’Amt, l’açienda ch’a gestisce o traspòrto pubrico, trovandoghe 200 mioin e passa de debiti.",Amt,NOUN
"A Procua de Zena a l’à ciammou o fallimento de l’Amt, l’açienda ch’a gestisce o traspòrto pubrico, trovandoghe 200 mioin e passa de debiti.",",",PUNCT
"A Procua de Zena a l’à ciammou o fallimento de l’Amt, l’açienda ch’a gestisce o traspòrto pubrico, trovandoghe 200 mioin e passa de debiti.",l,PRON
"A Procua de Zena a l’à ciammou o fallimento de l’Amt, l’açienda ch’a gestisce o traspòrto pubrico, trovandoghe 200 mioin e passa de debiti.",’,PUNCT
"A Procua de Zena a l’à ciammou o fallimento de l’Amt, l’açienda ch’a gestisce o traspòrto pubrico, trovandoghe 200 mioin e passa de debiti.",açienda,NOUN
"A Procua de Zena a l’à ciammou o fallimento de l’Amt, l’açienda ch’a gestisce o traspòrto pubrico, trovandoghe 200 mioin e passa de debiti.",ch,PRON
"A Procua de Zena a l’à ciammou o fallimento de l’Amt, l’açienda ch’a gestisce o traspòrto pubrico, trovandoghe 200 mioin e passa de debiti.",’,PUNCT
"A Procua de Zena a l’à ciammou o fallimento de l’Amt, l’açienda ch’a gestisce o traspòrto pubrico, trovandoghe 200 mioin e passa de debiti.",a,VERB
"A Procua de Zena a l’à ciammou o fallimento de l’Amt, l’açienda ch’a gestisce o traspòrto pubrico, trovandoghe 200 mioin e passa de debiti.",gestisce,VERB
"A Procua de Zena a l’à ciammou o fallimento de l’Amt, l’açienda ch’a gestisce o traspòrto pubrico, trovandoghe 200 mioin e passa de debiti.",o,PRON
"A Procua de Zena a l’à ciammou o fallimento de l’Amt, l’açienda ch’a gestisce o traspòrto pubrico, trovandoghe 200 mioin e passa de debiti.",traspòrto,NOUN
"A Procua de Zena a l’à ciammou o fallimento de l’Amt, l’açienda ch’a gestisce o traspòrto pubrico, trovandoghe 200 mioin e passa de debiti.",pubrico,ADJ
"A Procua de Zena a l’à ciammou o fallimento de l’Amt, l’açienda ch’a gestisce o traspòrto pubrico, trovandoghe 200 mioin e passa de debiti.",",",PUNCT
"A Procua de Zena a l’à ciammou o fallimento de l’Amt, l’açienda ch’a gestisce o traspòrto pubrico, trovandoghe 200 mioin e passa de debiti.",trovandoghe,VERB
